stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000381,381,St John's Church,,53.3243237661065,-6.21237419337667,,,,
8220DB000385,385,Newgrove Avenue,,53.332351023118,-6.21122768794002,,,,
8220DB000387,387,Sandymount,,53.3324995101993,-6.21574105767749,,,,
8220DB000388,388,Farney Park,,53.334508861965,-6.21848017255212,,,,
8220DB000389,389,Star of the Sea,,53.3352900817962,-6.21963388936862,,,,
8220DB000390,390,Tritonville Road,,53.3376299137845,-6.2222394793377,,,,
8220DB000391,391,Saint Brendan's Cottages,,53.340064,-6.223925,,,,
8220DB000392,392,Ringsend Village,,53.341734,-6.227415,,,,
8220DB000393,393,Tritonville Road,,53.3369038877169,-6.22237479685263,,,,
8220DB000395,395,Ringsend Road,,53.3419400535651,-6.23527645441634,,,,
8220DB000396,396,Grand Canal Quay,,53.342442,-6.239476,,,,
8220DB000397,397,Pearse Square,,53.342786,-6.242015,,,,
8220DB000398,398,Erne Street,,53.3432949350358,-6.24547844686789,,,,
8220DB000399,399,Pearse Street,,53.343867,-6.248309,,,,
8220DB000400,400,Shaw Street,,53.344849,-6.25339,,,,
8220DB000403,403,Nassau Street,,53.3427135106709,-6.25670629404065,,,,
8220DB000404,404,Nassau Street,,53.3426633325105,-6.25634789239429,,,,
